City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
179,sulya,12.5667,75.3833,22.67,96,96,1.27,IN,1701207923
180,floro,61.5996,5.0328,-3.02,54,100,3.09,NO,1701207923
181,sitka,57.0531,-135.33,5.94,81,75,0.0,US,1701207240
182,petropavlovka,50.6114,105.3196,-19.62,90,67,2.47,RU,1701207924
183,griffith,41.5284,-87.4237,-4.53,59,0,3.6,US,1701207924
184,hamada,34.8833,132.0833,10.14,66,97,7.07,JP,1701207924
185,kiffa,16.6166,-11.4045,25.19,14,13,4.19,MR,1701207925
186,cabedelo,-6.9811,-34.8339,26.37,71,84,5.76,BR,1701207925
187,yanchep,-31.55,115.6833,18.67,82,26,1.6,AU,1701207456
188,lensk,60.7253,114.9278,-20.79,95,58,3.95,RU,1701207397
189,tsiombe,-25.3,45.4833,23.61,93,53,2.89,MG,1701207415
190,tura,25.5198,90.2201,18.11,69,99,1.3,IN,1701207407
191,oued zem,32.8627,-6.5736,11.86,74,24,2.65,MA,1701207926
192,bam,29.106,58.357,16.42,50,2,2.21,IR,1701207926
193,lanciano,42.2167,14.3882,9.57,60,0,2.76,IT,1701207926
194,pico truncado,-46.7949,-67.9573,19.06,23,7,16.02,AR,1701207674
195,utrik,11.2278,169.8474,27.45,77,88,8.84,MH,1701207478
196,olonkinbyen,70.9221,-8.7187,1.91,76,100,3.73,SJ,1701207433
197,jesus maria,-30.9815,-64.0942,32.66,39,0,6.79,AR,1701207927
198,kudahuvadhoo,2.6708,72.8944,27.44,78,100,4.35,MV,1701207928
199,huejutla de reyes,21.1333,-98.4167,15.76,97,100,1.25,MX,1701207928
200,avarua,-21.2078,-159.775,27.03,74,75,8.75,CK,1701207415
201,palanpur,24.1667,72.4333,17.81,61,0,2.87,IN,1701207928
202,santiago,-33.4569,-70.6483,25.11,49,0,6.69,CL,1701207702
203,upington,-28.4478,21.2561,25.21,25,100,3.6,ZA,1701207929
204,souillac,-20.5167,57.5167,23.21,94,40,1.54,MU,1701207929
205,newnham,-41.3833,147.1333,16.03,67,56,10.29,AU,1701207929
206,kibungo,-2.1597,30.5427,19.51,96,96,0.64,RW,1701207929
207,hawaiian paradise park,19.5933,-154.9731,27.15,78,20,4.63,US,1701207404
208,kavieng,-2.5744,150.7967,28.17,77,96,2.48,PG,1701207930
209,puli,23.9664,120.9695,20.68,68,9,1.87,TW,1701207930
